法律依据,出现次数
《最高人民法院、最高人民检察院关于办理盗窃刑事案件适用法律若干问题的解释》第3条第1款,5818
《中华人民共和国刑法(1997年)》第274条,5670
《最高人民法院关于审理交通肇事刑事案件具体应用法律若干问题的解释》第1条,5638
《最高人民法院关于审理交通肇事刑事案件具体应用法律若干问题的解释》第3条,5585
《中华人民共和国刑法》第144条,5498
《中华人民共和国刑法》第359条第351款,5475
《中华人民共和国刑法》第382条第381款,5383
《最高人民法院、最高人民检察院关于办理盗窃刑事案件适用法律若干问题的解释》第2条,5367
《中华人民共和国刑法》第143条,5357
《中华人民共和国刑法》第238条第231款,5356
《中华人民共和国刑法》第71条,5215
《中华人民共和国刑法(1997年)》第144条,5184
《中华人民共和国刑法》第56条第51款,5025
《中华人民共和国刑法(1997年)》第385条第381款,4987
《中华人民共和国刑法(1997年)》第386条,4809
《中华人民共和国刑法》第93条第91款,4767
《中华人民共和国刑法》第176条第171款,4728
《中华人民共和国刑法(1997年)》第77条第71款,4580
《中华人民共和国刑法(1997年)》第77条第72款,4579
《中华人民共和国刑法》第271条第271款,4562
《最高人民法院、最高人民检察院关于办理诈骗刑事案件具体应用法律若干问题的解释》第1条第1款,4556
《中华人民共和国刑法(1997年)》第267条第261款,4513
《中华人民共和国刑法》第236条第231款,4423
《中华人民共和国刑法》第55条第51款,4294
《最高人民法院关于审理破坏森林资源刑事案件具体应用法律若干问题的解释》第6条,4289
《中华人民共和国刑法(1997年)》第114条,4276
《中华人民共和国刑法》第232条,4268
《中华人民共和国刑法》第57条第51款,4232
《中华人民共和国刑法》第233条,4227
《最高人民法院关于适用财产刑若干问题的规定》第11条第11款,4208
《中华人民共和国刑法(1997年)》第224条,4145
《中华人民共和国刑法》第280条第281款,4058
《中华人民共和国刑事诉讼法(2012年)》第208条第201款,4033
《中华人民共和国刑法(1997年)》第275条,3953
《中华人民共和国刑法》第63条第61款,3939
《中华人民共和国刑法》第17条第11款,3917
《中华人民共和国刑法(1997年)》第56条第51款,3876
《中华人民共和国刑法(1997年)》第271条第271款,3806
《中华人民共和国刑法》第389条第381款,3791
《中华人民共和国刑法》第292条第291款,3784
《中华人民共和国刑法》第19条,3774
《中华人民共和国刑法》第390条第391款,3712
《中华人民共和国刑事诉讼法》第505条第501款,3670
《中华人民共和国刑法》第313条,3641
《中华人民共和国刑法》第338条,3576
《最高人民法院关于处理自首和立功具体应用法律若干问题的解释》第4条,3559
《中华人民共和国刑法(1997年)》第357条第351款,3540
《中华人民共和国刑法(1997年)》第70条,3321
《中华人民共和国刑法(1997年)》第55条第51款,3258
《中华人民共和国刑法》第59条第51款,3258
《中华人民共和国刑法(1997年)》第143条,3095
《中华人民共和国刑法(1997年)》第238条第231款,3082
《最高人民法院关于审理破坏森林资源刑事案件具体应用法律若干问题的解释》第5条第1款,3014
《中华人民共和国刑事诉讼法(2012年)》第158条第151款,2960
