法律依据,出现次数
《中华人民共和国刑法》第116条第111款,27
《中华人民共和国刑法》第180条第181款,27
《中华人民共和国刑法(1979年)》第24条第21款,26
《最高人民法院关于审理拒不执行判决、裁定案件具体应用法律若干问题的解释》第1条,26
《中华人民共和国刑法(1997年)》第388条第381款,26
《中华人民共和国刑法》第229条第221款,26
《中华人民共和国刑事诉讼法》第1条第1款,26
《最高人民法院、最高人民检察院关于办理行贿刑事案件具体应用法律若干问题的解释》第4条,26
《中华人民共和国刑事诉讼法(2012年)》第257条第251款,26
《中华人民共和国刑��(1997年)》第264条,26
《最高人民法院、最高人民检察院、公安部关于办理网络赌博犯罪案件适用法律若干问题的意见》第2条第1款,26
《最高人民���院、最高人民检察院关于办理盗窃刑事案件适用法律若干问题的解释》第1条第1款,26
《中华人民共和国刑法(1997年)》第281条第281款,26
《中华人民共和国刑法(1997年)》第136条,26
《中华人民共和国刑法》第184条第181款,26
《最高人民法院关于审理骗购外汇、非法买卖外汇刑事案件具体应用法律若干问题的解释》第7条,26
《中华人民共和国刑法》第285条第281款,25
《中华人民共和国刑法》第285条,25
《最高人民法院关于审理贪污、职务侵占案件如何认定共同犯罪几个问题的解释》第2条,25
《最高人民法院、最高人民检察院关于办理行贿刑事案件具体应用法律若干问题的解释》第8条,25
《最高人民法院、最高人民检察院关于办理侵犯知识产权刑事案件具体应用法律若干问题的解释》第4条,25
《中华人民共和国刑法》第116条,25
《最高人民法院、最高人民检察院关于办理走私刑事案件适用法律若干问题的解释》第16条第11款,25
《中华人民共和国刑法(1997年)》第375条第372款,24
《中华人民共和国刑法(1997年)》第375条第371款,24
《最高人民法院关于处理自首和立功具体应用法律若干问题的��释》第1条,24
《中华人民共和国刑法》第294条第291款,24
《中华人民共和国道路交通安全法(2011年)》第44条,24
《最高人民法院关于审理拒不执行判决、裁定案件具体应用法律若干问题的解释》第8条第1款,24
《中华人民共和国刑法》第57条,24
《最高人民检察院、公安部关于公安机关管辖的刑事案件立案追诉标准的规定(一)》第1条第1款,24
《中华人民共和国刑法(1997年)》第246条第241款,24
《中华人民共和国刑法(1997年)》第155条,24
《中华人民共和国刑法》第119条第111款,24
《中华人民共和国刑法》第188条第181款,24
《中华人民共和国刑法(1997年)》第270条第271款,23
《中华人民共和国刑法(1997年)》第361条第361款,23
《最高人民法院关于审理挪用公款案件具体应用法律若干问题的解释》第5条,23
《中华人民共和国刑事诉讼法》第457条,23
《中华人民共和国刑事诉讼法》第138条第131款,23
《中华人民共和国刑法(1997年)》第302条,23
《最高人民检察院、公安部关于公安机关管辖的刑事案件立案追诉标准的规定(一)》第33条,23
《中华人民共和国刑法(1997年)》第147条,23
《中华人民共和国刑事诉讼法》第83条第81款,23
《中华人民共和国刑事诉讼法(2012年)》第347条,23
《中华人民共和国刑法》第265条,23
《中华人民共和国刑法》第182条第181款,23
《最高人民法院关于审理破坏公用电信设施刑事案件具体应用法律若干问题的解释》第3条第1款,22
《最高人民法院关于审理盗窃案件具体应用法律若干问题的解释》第12条,22
《中华人民共和国刑法(1997年)》第286条第281款,22
《中华人民共和国刑法(1997年)》第88条第81款,22
《最高人民法院、最高人民检察院关于办理盗窃油气、破坏油气设备等刑事案件具体应用法律若干问题的解释》第4条,22
《最高人民法院关于处理自首和立功具体应用法律若干问题的解释》第73条,22
《最高人民法院、最高人民检察院关于办理侵犯知识产权刑事案件具体应用法律若干问题的解释》第16条,22
《最高人民法院、最高人民检察院关于办理敲诈勒索刑事案件适用法律若干问题的解释》第3条,22
《中华人民共和国刑事诉讼法》第458条第451款,22
《中华人民共和国民事诉讼法(2013年)》第170条第171款,22
《最高人民法院关于审理挪用公款案件具体应用法律若干问题的解释》第8条,22
《中华人民共和国刑事诉讼法(2012年)》第62条第61款,22
《中华人民共和国刑事诉讼法(2012年)》第275条第271款,22
《最高人民法院、最高人民检察院关于办理环境污染刑事案件适用法律若干问题的解释》第11条第11款,22
《最高人民法院关于审理破坏野生动物资源刑事案件具体应用法律若干问题的解释》第3条第1款,22
《中华人民共和国刑法》第150条,22
《中华人民共和国刑事诉讼法(2012年)》第228条,22
《中华人民共和国刑法》第254条,22
《中华人民共和国刑法》第296条,22
《最高人民法院关于处理自首和立功具体应用法律若干问题的解释》第72条,21
《最高人民法院、最高人民检察院关于办理生产、销售伪劣商品刑事案件具体应用法律若干问题的解释》第9条,21
《中华人民共���国刑事诉讼法(2012年)》第279条,21
《中华人民共和国刑事诉讼法》第439条第431款,21
《最高人民法院、最高人民检察院关于办理敲诈勒索刑事案件适用法律若干问题的解释》第2条,21
《中华人民共和国刑事诉讼法(2012年)》第266条第261款,21
《最高人民���院、最高人民检察院关于办理盗窃刑事案件适用法律若干问题的解释》第3条第1款,21
《最高人民法院、最高人民检察院关于办理利用互联网、移动通讯终端、声讯台制作、复制、出版、贩卖、传播淫秽电子信息刑事案件具体应用法律若干问题的解释(二)》第1条第1款,21
《中华人民共和国食品安全法》第28条,21
《中华人民共和国刑事诉讼法(2012年)》第220条第221款,21
《中华人民共和国民事诉讼法》第64条,21
《中华人民共和国刑法》第395条第391款,21
《中华人民共和国刑法(1979年)》第132条,20
《中华人民共和国刑法(1997年)》第360条第361款,20
《最高人民法院关于审理抢夺刑事案件具体应用法律若干问题的解释》第4条,20
《最高人民法院关于审理伪造货币等案件具体应用法律若干问题的解释》第7条第1款,20
《最高人民法院关于审理伪造货币等案件具体应用法律若干问题的解释》第2条第1款,20
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第25条第21款,20
《中华人民共和国刑事诉讼法》第304条,20
《中华人民共和国刑事诉讼法(2012年)》第131条,20
《最高人民法院、最高人民检察院关于办理盗窃刑事案件适用法律若干问题的解释》第5条,20
《中华人民共和国刑事诉讼法(2012年)》第79条第71款,20
《最高人民法院、最高人民检察院关于办理危害食品安全刑事案件适用法律若干问题的解释》第12条第11款,20
《最高人民法院、最高人民检察院关于办理诈骗刑事案件具体应用法律若干问题的解释》第10条第11款,20
《中华人民共和国侵权责任法》第8条,20
《最高人民法院关于审理破坏森林资源刑事案件具体应用法律若干问题的解释》第15条,20
《中华人民共和国刑法》第67条,20
《中华人民共和国刑法》第97条,20
《最高人民检察院、公安部关于公安机关管辖的刑事案件立案追诉标准的规定(二)》第79条,20
《中华人民共和国刑法》第300条第301款,20
《中华人民共和国刑法》第220条,20
《中华人民共和国刑法》第99条,20
《中华人民共和国刑法》第73条第73款,20
《中华人民共和国刑事诉讼法(1996年)》第162条,19
《最高人民法院、最高人民检察院、司法部关于适用简易程序审理公诉案件的若干意见》第3条第1款,19
《最高人民法院关于审理抢劫、抢夺刑事案件适用法律若干问题的意见》第3条第1款,19
《中华人民共和国刑法(1997年)》第89条第81款,19
《最高人民法院关于审��破坏森林资源刑事案件具体应用法律若干问题的解释》第6条,19
《最高人民法院关于适用财产刑若干问题的规定》第10条第11款,19
《中华人民共和国刑法(1997年)》第152条第152款,19
《中华人民共和国刑法(1997年)》第152条第151款,19
《中华人民共和国刑法(1997年)》第5条第1款,19
《办理毒品犯罪案件适用法律若干问题的意见》第3条,19
《中华人民共和国刑事诉讼法(2012年)》第243条第241款,19
《最高人民法院、最高人民检察院关于办理行贿刑事案件具体应用法律若干问题的解释》第10条第11款,19
《最高人民法院、最高人民检察院、公安部关于办理制毒物品犯罪案件适用法律若干问题的意见》第3条,19
《中华人民共和国刑法(1997年)》第200条,19
《中华人民共和国刑法》第130条,19
《中华人民共和国森林法(1998年)》第32条第31款,19
《中华人民共和国民法通则》第134条第131款,19
《中华人民共和国刑法》第248条第241款,19
《中华人民共和国刑法(1997年)》第294条第291款,19
《森林防火条例(2008年修订)》第25条,19
《最高人民法院关于在执行附加刑剥夺政治权利期间犯新罪应如何处理的批复》第1条,19
《中华人民共和国森林法(2009年)》第39条第31款,19
《中华人民共和国民事诉讼法》第145条,19
《最高人民法院关于审理盗窃案件具体应用法律若干问题的解释》第5条第1款,18
《中华人民共和国刑事诉讼法》第176条,18
《最高人民法院关于审理毒品案件定罪量刑标准有关问题的解释》第64条,18
《中华人民共和国刑法(1979年)》第63条,18
《最高人民法院关于审理未成年人刑事案件具体应用法律若干问题的解释》第17条,18
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第27条,18
《中华人民共和国道路交通安全法实施条例》第47条,18
《中华人民共和国刑事诉讼法(2012年)》第162条,18
《中华人民共和国刑事诉讼法(2012年)》第235条,18
《最高人民法院关于处理自��和立功具体应用法律若干问题的解释》第1条,18
《中华人民共和国刑法》第410条,18
《中华人民共和国刑法(1997年)》第49条第42款,18
《中华人民共和国刑法(1997年)》第12条,18
《中华人民共和国刑法(1997年)》第300条第301款,18
《中华人民共和国药品管理法(2001年)》第78条,18
《最高人民法院关于在执行附加刑剥夺政治权利期间犯新罪应如何处理的批复》第2条,18
《中华人民共和国刑法(1997年)》第171条,18
《中华人民共和国刑法》第187条第181款,18
《中华人民共和国刑法》第195条,18
《最高人民法院关于办理减刑、假释案件具体应用法律若干问题的规定》第20条第21款,18
《最高人民法院关于审理非法行医刑事案件具体应用法律若干问题的解释》第4条,18
《最高人民法院关于审理走私刑事案件具体应用法律若干问题的解释》第4条第1款,17
《最高人民法院关于审理毒品案件定罪量刑标准有关问题���解释》第3条,17
《中华人民共和国刑法》第335条,17
《中华人民共和国刑法(1997年)》第49条,17
《中华人民共和国刑法(1997年)》第150条,17
《中华人民共和国刑事诉讼法(2012年)》第49条,17
《中华人民共和国道路交通安全法(2011年)》第16条,17
《最高人民法院、最高人民检察院关于办理诈骗刑事案件具体应用法律若干问题的解释》第4条第1款,17
《中华人民共和国刑事诉讼法(2012年)》第293条,17
《中华人民共和国刑法》第7条,17
《最高人民法院关于处理自首和立功若干具体问题的意见》第1条第1款,17
《中华人民共和国种子法(2004年)》第26条,17
《最高人民法院关于审理破坏林地资源刑事案件具体应用法律若干问题的���释》第1条,17
《中华人民共和国刑事诉讼法(2012年)》第78条,17
《中华人民共和国刑法》第308条,17
《中华人民共和国食品安全法》第148条,17
《中华人民共和国刑法(1979年)》第53条第51款,16
《中华人民共和国刑法(1979年)》第67条第61款,16
《最高人民法院关于审理伪造货币等案件具体应用法律若干问题的解释》第1条第1款,16
《中华人民共和国刑法》第199条,16
《中华人民共和国刑法》第158条第151款,16
《最高人民法院关于审理毒品案件定罪量刑标准有关问题的解释》第52条,16
《最高人民法院关于审理毒品案件定罪量刑标准有关问题的解释》第53条,16
《最高人民法院、最高人民检察院关于办理生产、销售伪劣商品刑事案件具体应用法律若干问题的解释》第10条,16
《中华人民共和国道路交通安全法(2011年)》第49条,16
《中华人民共和国刑法》第324条第321款,16
《最高人民法院关于审理未成年人刑事案件具体应用法律若干问题的解释》第12条第11款,16
《中华人民共和国刑法(1997年)》第334条第331款,16
《中华人民共和国刑事诉讼法》第365条,16
《中华人民共和国刑事诉讼法》第367条第361款,16
《最高人民法院、最高人民检察院关于办理与盗窃、抢劫、诈骗、抢夺机动车相关刑事案件具体应用法律若干问题的解释》第2条第1款,16
《最高人民法院关于审理编造、故意传播虚假恐怖信息刑事案件适用法律若干问题的解释》第6条,16
《中华人民共和国刑法(1997年)》第369条第361款,16
《中华人民共和国刑法(1997年)》第369条,16
《最高人民法院、最高人民检察院关于办理敲诈勒索刑事案件适用法律若干问题的解释》第6条第1款,16
《中华人民共和国刑事���讼法(2012年)》第208条第201款,16
《最高人民法院关于审理破坏森林资源刑事案件具体应用法律若干问题的解释》第8条,16
《最高人民法院关于审理拒不支付劳动报酬刑事案件适用法律若干问题的解释》第7条,16
《最高人民法院关于审理破坏草原资源刑事案件应用法律若干问题的解释》第1条,16
《最高人民法院关于审理破坏公用电信设施刑事案件具体应用法律若干问题的解释》第2条,16
《中华人民共和国刑法(1997年)》第85条,16
《最高人民法院、最高人民检察院关于办理危害药品安全刑事案件适用法律若干问题的解释》第1条,16
《中华���民共和国刑法》第196条第191款,16
《中华人民共和国种子法(2004年)》第31条,16
《中华人民共和国刑法》第211条,16
《中华人民共和国刑法》第203条,16
《中华人民共和国民事诉讼法》第55条,16
《最高人民法院关于审理非法出版物刑事案件具体应用法律若干问题的解释》第15条,15
《中华人民共和国刑法(1997年)》第265条,15
《中华人民共和国刑法》第28条,15
《最高人民法院、最高人民检察院关于办理侵犯知识产权刑事案件具体应用法律若干问题的解释》第11条第11款,15
《最高人民法院关于审理抢劫、抢夺刑事案件适用法律若干问题的意见》第6条第1款,15
《中华人民共和国刑法(1997年)》第119条第111款,15
《中华人民共和国刑法(1979年)》第23条第21款,15
《中华人民共和国道路交通安全法实施条例》第50条,15
《中华人民共和国道路交通安全法实施条例》第45条,15
《中华人民共和国刑法(1997年)》第66条,15
《最高人民法���关于审理交通肇事刑事案件具体应用法律若干问题的解释》第3条,15
《中华人民共和国刑法(1997年)》第83条第81款,15
《最高人民法院关于审理单位犯罪案件具体应用法律有关问题的解释》第1条,15
《最高人民法院、最高人民检察院关于办理受贿刑事案件适用法律若干问题的意见》第7条第1款,15
《中华人民共和国刑事诉��法(2012年)》第279条,15
《最高人民法院、最高人民检察院关于办理妨害信用卡管理刑事案件具体应用法律若干问题的解释》第3条,15
《中华人民共和国刑法》第309条,15
《中华人民共和国侵权责任法》第26条,15
《最高人民法院、最高人民检察院关于办理危害食品安全刑事案件适用法律若干问题的解释》第14条,15
《中华人民共和国刑法(1997年)》第244条第241款,15
《中华人民共和国刑法(1997年)》第244条,15
《最高人民法院、最高人民检察院关于办理走私刑事案件适用法律若干问题的解释》第9条第1款,15
《中华人民共和国刑法》第10条,15
《中华人民共和国刑事诉讼法(2012年)》第35条,15
《中华人民共和国刑法》第287条,15
《中华人民共和国刑法》第259条第251款,15
《中华人民共和国���事诉讼法(2012年)》第262条第261款,15
《中华人民共和国刑事诉讼法》第347条,15
《中华人民共和国刑法》第113条第111款,14
《中华人民共和国刑法(1979年)》第60条,14
《中华人民共和国刑事诉讼法(2012年)》第191条第191款,14
《中华人民共和国刑法》第159条第151款,14
《中华人民共和国未成年人保护法(2006年)》第54条第51款,14
《中华人民共和国刑法(1997年)》第184条第181款,14
《最高人民法院关于审理非法制造、买卖、运输枪支、弹药、爆炸物等刑事案件具体应用法律若干问题的解释(2009年)》第5条第5款,14
《中华人民共和国刑法》第16条,14
《最高人民法院关于审理拒不支付劳动报酬刑事案件适用法律若干问题的解释》第8条,14
《中华人民共和国刑法(1997年)》第72条,14
《中华人民共和国刑事���讼法(2012年)》第195条,14
《中华人民共和国刑事诉讼法(2012年)》第77条第71款,14
《中华人民共和国刑事诉讼法》第283条,14
《最高��民法院关于适用财产刑若干问题的规定》第2条第1款,14
《中华人民共和国刑法》第206条第201款,14
《最高人民法院、最高人民检察院关于办理危害药品安全刑事案件适用法律若干问题的解释》第15条,14
《中华人民共和国刑法》第141条,14
《中华人民共和国刑法》第204条第201款,14
《最高人民法院、最高人民检察院关于办理受贿刑事案件适用法律若干问题的意见》第2条第1款,13
《中华人民共和国刑法》第77条,13
《中华人民共和国刑法》第94条,13
《���高人民法院关于适用财产刑若干问题的规定》第1条,13
《中华人民共和国刑法(1997年)》第308条,13
《全国部分法院审理毒品犯罪案件工作座谈会纪要》第1条第1款,13
《中华人民共和国民法通则》第131条,13
《中华人民共和国刑法(1997年)》第33条,13
《最高人民法院关于审理交通��事刑事案件具体应用法律若干问题的解释》第2条第1款,13
《中华人民共和国刑法》第284条,13
《最高人民法院关于处理自首和立功具体应用法律若干问题的解释》第64条,13
《最高人民法院关于审理抢劫、抢夺刑事案件适用法律若干问题的意见》第4条第1款,13
《最高人民法院、最高人民检察院关于办理盗窃刑事案件适用��律若干问题的解释》第4条第1款,13
《最高人民法院、最高人民检察院关于办理赌博刑事案件具体应用法律若干问题的解释》第5条,13
《最高人民法院、最高人民检察院关于办理职务犯罪案件严格适用缓刑、免予刑事处罚若干问题的意见》第3条第1款,13
《中华人民共和国刑法(1997年)》第387条第381款,13
《最高人民法院关于审理非法制造、买卖、运输枪支、弹药、爆炸物等刑事案件具体应用法律若干问题的解释(2009年)》第2条,13
《中华人民共和国刑法(1997年)》第220条,13
《中华人民共和国刑事诉讼法》第364条第361款,13
《最高人民法院关于处理自首和立功具体应用法律���干问题的解释》第1条,13
《中华人民共和国刑法(1997年)》第346条,13
《中华人民共和国刑法(1997年)》第254条,13
《中华人民共和国环境保护法》第6条,13
《最高人民法院关于审理非法制造、买卖、运输枪支、弹药、爆炸物等刑事案件具体应用法律若干问题的解释(2009年)》第64条,13
《中华人民共和国刑法》第139条,13
《最高人民法院关于办理减刑、假释案件具体应用法律若干问题的规定》第4条,13
《中华人民共和国刑法》第146条,13
《最高人民法院关于审理非法出版物刑事案件具体应用法律若干问题的解释》第8条第1款,12
《最高人民法院关于审理抢劫、抢夺刑事案件适用法律若干问题的意见》第7条第1款,12
《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第29条,12
《最高人民法院、最高人民检察院关于办理利用互联网、移动通讯终端、声讯台制作、复制、出版、贩卖、传播淫秽电子信息刑事案件具体应用法律若干问题的解释(二)》第2条第1款,12
《中华人民共和国刑法》第400条第401款,12
《中华人民共和国刑法(1997年)》第268条,12
《最高人民法院关于适用财产刑若干问题的���定》第1条,12
《最高人民法院关于适用财产刑若干问题的���定》第2条第1款,12
《最高人民法���关于适用财产刑若干问题的规定》第2条第1款,12
《中��人民共和国刑事诉讼法(2012年)》第277条第271款,12
《最高人民法院、最高人民检察院关于办理职务犯罪案件严格适用缓刑、免予刑事处罚若干问题的意见》第2条,12
《中华人民共和国刑法(1997年)》第28条,12
《中华人民共和国刑法》第326条第321款,12
《最高人民法院关于审理编造、故意传播虚假恐怖信息刑事案件适用法律若干问题的解释》第1条第1款,12
《最高人民法院关于审理编造、故意传播虚假恐怖信息刑事案件适用法律若干问题的解释》第1条,12
《中华人民共和国刑法(1997年)》第211条,12
《中华人民共和国刑事诉讼法》第325条第321款,12
《中华人民共和国刑法(1997年)》第99条,12
《最高人民法院、最高人民检察院关于办理受贿刑事案件适用法律若干问题的意见》第3条第1款,12
《中华人民共和国刑事诉讼法(2012年)》第157条,12
《中华人民共和国刑��(1997年)》第65条第61款,12
《中华人民共和国道路交通安全法实施条例》第91条,12
《中华人民共和国刑事诉讼法(2012年)》第23条,12
《最高��民法院关于适用财产刑若干问题的规定》第8条,12
《中华人民共和国刑事诉讼法(2012年)》第179条,12
《最高人民法院关于审理非法制造、买卖、运输枪支、弹药、爆炸物等刑事案件具体应用法律若干问题的解释(2009年)》第67条,12
《最高人民法院、最高人民检察院关于办理危害药品安全刑事案件适用法律若干问题的解释》第14条,12
《中华人民共和国刑法》第268条,12
《中华人民共和国刑法》第401条,12
《中华人民共和国刑法》第19条第11款,12
《中华人民共和国刑事诉讼法(2012年)》第241条,12
《中华人民共和国刑法》第306条,12
《中华人民共和国野生动物保护法(2004年)》第20条第21款,12
《最高人民法院关于审理非法制造、买卖、运输枪��、弹药、爆炸物等刑事案件具体应用法律若干问题的解释(2009年)》第8条第1款,12
《最高��民法院关于适用财产刑若干问题的规定》第5条,12
《最高人民法院、最高人民检察院关于办理受贿刑事案件适用法律若干问题的意见》第11条第11款,11
《中华人民共和国刑法》第5条第1款,11
《最高人民法院关于适用财产刑若干问题的���定》第5条,11
《中华人民共和国民法通则》第130条,11
《中华人民共和国道路交通安全法实施条例》第51条,11
《中华人民共和国刑事诉讼法(2012年)》第214条,11
《最高人民法院、最高人民检察院关于办理侵犯知识产权刑事案件具体应用法律若干���题的解释》第1条第1款,11
《中华人民共和国道路交通安全法实施条例》第48条,11
《中华人民共和国刑事诉讼法》第370条,11
《中华人民共和国刑法(1997年)》第260条第261款,11
《中华人民共和国刑法(1997年)》第400条第401款,11
《最高人民法院关于处理��首和立功具体应用法律若干问题的解释》第1条,11
《中华人民共和国刑法》第183条第181款,11
《中华人民共和国刑事诉讼法(2012年)》第125条,11
《中华人民共和国刑法(1997年)》第285条第282款,11
《中华人民共和国刑法(1997年)》第285条,11
《中华人民共和国刑法(1997年)》第97条,11
《中华人民共和国刑事诉讼法(2012年)》第2条,11
《最高人民法院、最高人民检察院关于办理生产、销售伪劣商品刑事案件具体应用法律若干问题的解释》第7条,11
《中华人民共和国烟草专卖法》第3条,11
《中华人民共和���刑事诉讼法(2012年)》第279条,11
《最高人民法院关于审理毒品案件定罪量刑标准有关问题的解释》第347条,11
《中华人民共和国刑事诉讼法(2012年)》第274条,11
《最高人民法���关于处理自首和立功具体应用法律若干问题的解释》第1条,11
《中华人民共和国刑法》第122条,11
《中华人民共和国刑法》第167条,11
《最高人民法院、最高人民检察院关于办理妨害���用卡管理刑事案件具体应用法律若干问题的解释》第5条第1款,11
《中华人民共和国刑法》第15条,11
《中华人民共和国侵权责任法》第65条,11
《中华人民共和国刑事诉讼法》第117条,10
《中华人民共和国刑法(1997年)》第219条第211款,10
《中华人民共和国刑法(1997年)》第205条第202款,10
《最高人民法院关于处理自首和立功具体应用法律若干问题的��释》第4条,10
《最高人民法院关于审理毒品案件定罪量刑标准有关问题的解释》第67条,10
《中华人民共和国道路交通安全法(2011年)》第50条第51款,10
《中华人民共和国刑法修正案(八)》第39条,10
《最高人民法院、最高人民检察院、公安部关于依法严肃查处拒不执行判决裁定和暴力抗拒法院执行犯罪行为有关问题的通知》第1条,10
《最高人民法院关于审理交通肇事刑事案件具体应用法律若干问题的解释》第6条,10
《中华人民共和国刑事诉讼法(2012年)》第58条,10
《最高人民法院、最高人民检察院关于办理受贿刑事案件适用法律若干问题的意见》第12条第11款,10
《中华人民共和国刑��(1997年)》第67条第61款,10
《中华人民共和国刑��(1997年)》第52条,10
《最高人民法院、最高人民检察院关于办理与盗窃、抢劫、诈骗、抢夺机动车相关刑事案件具体应用法律若干问题的解释》第4条,10
《最高人民法院、最高人民检察院关于办理利用互联网、移动通讯终端、声讯台制作、复制、出版、贩卖、传播淫秽电子信息刑事案件具体应用法律若干问题的解释(二)》第11条,10
《最高人民法院关于刑事附带民事诉讼范围问题的规定》第1条第1款,10
《最高人民法���关于审理交通肇事刑事案件具体应用法律若干问题的解释》第1条,10
《最高人民法院、最高人民检察院关于适用刑事司法解释时间效力问题的规定》第1条,10
《中华人民共和国刑事诉讼法(2012年)》第26条,10
《中华人民共和国刑法(1997年)》第248条第241款,10
《最高人民法���关于适用财产刑若干问题的规定》第1条,10
《中华人民共和国刑事诉讼法(2012年)》第69条第61款,10
《中华人民共和国刑事诉讼法》第318条,10
《中华人民共和国刑事诉讼法》第225条第221款,10
《中华人民共和国刑法(1997年)》第168条第161款,10
《中华人民共和国刑法(1997年)》第168条,10
《最高人民法院关于被告人亲属主动为被告人退缴赃款应如何处理的批复》第4条,10
《关于办理醉酒驾驶机动车刑事案件适用法律若干问题的意见》第2条,10
《最高人民法院、最高人民检察院关于办理寻衅滋事刑事案件适用法律若干问题的解释》第5条,10
《最高人民检察院关于办理非法经营食盐刑事案件具体应用法律若干问题的解释》第2条,10
《最高人民法院关于审理盗窃案件具体应用法律若干问题的解释》第2条,10
《中华人民共和国刑事诉讼法(2012年)》第59条,10
《中华人民共和国森林法(2009年)》第32条第31款,10
《最高人民法院、最高人民检察院关于办理利用互联网、移动通讯终端、声讯台制作、复制、出版、贩卖、传播淫秽电子信息刑事案件具体应用法律若干问题的解释(二)》第9条,10
《最高人民法院、最高人民检察院关于办理危害食品安全刑事案件适用法律若干问题的解释》第3条,10
《最高人民法院、最高人民检察院关于办理侵犯知识产权刑事案件具体应用法律若干问题的解释(二)》第6条,10
《最高人民法院、最高人民检察院关于办理妨害武装部队制式服装、车辆号牌管理秩序等刑事案件具体应用法律若干问题的解释》第1条第1款,10
《中华人民共和国刑事诉讼法》第265条第261款,10
《最高人民法院、最高人民检察院关于办理危害食品安全刑事案件适用法律若干问题的解释》第67条,10
《最高人民法院、最高人民检察院关于办理危害食品安全刑事案件适用法律若干问题的解释》第52条,10
《中华人民共和国刑法(1997年)》第324条第321款,10
《中华人民共和国刑法(1997年)》第273条,10
《中华人民共和国刑事诉讼法》第496条第491款,10
《最高人民法院关于审理倒卖车票刑事案件有关问题的解释》第1条,10
《中华人民共和国刑事诉讼法(2012年)》第505条,10
《中华人民共和国刑法》第138条,10
《中华人民共和国刑法(1997年)》第337条第331款,10
《中华���民共和国刑法》第67条第61款,10
《中华人民共和国刑事诉讼法(2012年)》第236条第231款,10
《中华人民共和国刑事诉讼法(2012年)》第45条,10
《中华人民共和国刑事诉讼法(2012年)》第16条第11款,10
《中华人民共和国刑法》第408条第401款,10
《最高人民法院关于办理减刑、假释案件具体应用法律若干问题的规定》第16条,10
《最高人民法院关于在裁判文书中如何表述修正前后刑法条文的批复》第1条,10
《中华人民共和国野生动物保护法(2004年)》第24条第21款,10
《中华人民共和国刑法(1979年)》第68条第61款,9
《中华人民共和国刑法(1997年)》第113条第111款,9
《最高人民法院、最高人民检察院关于办理生产、销售假药、劣药刑事案件具体应用法律若干问题的解释》第1条第1款,9
《中华人民共和国刑法》第69条,9
《中华人民共���国刑事诉讼法(2012年)》第277条第271款,9
《中华人民共和国刑法(1997年)》第374条,9
《中华人民共和国民事诉讼法(2013年)》第64条第61款,9
《中华人民共和国刑法(1997年)》第335条,9
《最高人民法院关于审理未成年人刑事案件具体应用法律若干问题的解释》第15条第11款,9
《中华人民共和国刑法(1979年)》第57条,9
《最高人民法院、最高人民检察院、司法部关于适用简易程序审理公诉案件��若干意见》第9条,9
《中华人民共和国刑法(1997年)》第14条,9
《最高人民法院关于审理单位犯罪案件具体应用法律有关问题的解释》第3条,9
《中华人民共和国刑��(1997年)》第53条,9
《最高人民法院、最高人民检察院关于办理内幕交易、泄露内幕信息刑事案件具体应用法律若干问题的解释》第7条,9
《中华人民共和国刑事诉讼法(2012年)》第270条第271款,9
《最高人民法院关于审理抢劫、抢夺刑事案件适用法律若干问题的意见》第9条第1款,9
《中华人民共和国刑法(1997年)》第229条第221款,9
《最高人民法院关于审理破坏土地资源刑事案件具体应用法律若干问题的解释》第9条,9
《关于办理盗窃刑事案件适用法律若干问题的解释》第2条,9
《最高人民法院关于被告人亲属主动为被告人退缴赃款应如何处理的批复》第3条,9
《中华人民共和国刑法(1997年)》第72条第72款,9
《中华人民共和国道路交通安全法实施条例》第49条第41款,9
《中华人民共和国刑法(1997年)》第183条第181款,9
《最高人民���院、最高人民检察院关于办理盗窃刑事案件适用法律若干问题的解释》第14条,9
《最高人民法院、最高人民检察院关于办理盗窃刑事案件适用法律若干问题的解释》第10条,9
《最高人民法院、最高人民检察院关于办理危害食品安全刑事案件适用法律若干问题的解释》第6条,9
《最高人民法���关于适用财产刑若干问题的规定》第5条,9
《中华人民共和国烟草专卖法》第22条,9
《最高人民法院、最高人民检察院、公安部、国家安全部关于依法办理非法生产销售使用“伪基站”设备案件的意见》第1条第1款,9
《中华人民共和国刑事诉��法(2012年)》第225条第221款,9
《最高人民法院关于审理诈骗案件具体应用法律的若干问题的解释》第2条第1款,9
《中华人民共和国刑事诉讼法(2012年)》第284条,9
《最高人民法院关于审��破坏森林资源刑事案件具体应用法律若干问题的解释》第5条第1款,9
《中华人民共和国刑事诉讼法(2012年)》第47条,9
《中华人民共和国刑事诉讼法(2012年)》第193条第191款,9
《中华人民共和国药品管理法(2001年)》第39条第31款,9
《中华人民共和国刑法》第319条第311款,9
《中华人��共和国刑事诉讼法(2012年)》第225条第221款,9
《最高人民法院关于适用刑法第十二条几个问题的解释》第12条,9
《中华人民共和国刑事诉讼法(2012年)》第5条,9
《中华人民共和国刑事诉讼法(2012年)》第51条,9
《中华人民共和国刑事诉讼法(2012年)》第248条第241款,9
《最高人民检察院、公安部关于公安机关管辖的刑事案件立案追诉标准的规定(一)》第4条第1款,9
《中华人民共和国刑事诉讼法(2012年)》第3条第1款,9
《中华人民共和国森林法》第32条,9
